Gravity Rack,Kit Holder,Run,Method,Cost,Exec time,Optimality Gap (%)
5x3x25,4x25,6,Nearest,2045308,18.719,1.64
5x3x25,4x25,6,2-opt,2031318,617.8901,0.95
5x3x25,4x25,6,Q-learning,2047210,145878.5063,1.74
5x3x25,4x25,6,Exact_cbc,2012212,338406.5208,
5x3x25,4x25,6,Exact_cplex,2012212,128002.8809,
